name
Pinus nigra
Ulmus americana
Fraxinus pennsylvanica
Thuja occidentalis
Acer saccharinum
Acer platanoides
Fraxinus americana
Picea glauca
Acer negundo
Thuja occidentalis
Pittosporum undulatum
Magnolia grandiflora
Lophostemon confertus
Prunus serrulata
Arbutus 'Marina
Metrosideros excelsa
Ficus nitida
Tristaniopsis laurina
Platanus x hispanica
Platanus x hispanica
Quercus palustris
Gleditsia triacanthos
Pyrus calleryana
Acer platanoides
Sophora japonica
Zelkova serrata
Tilia cordata
Platanus _ acerifolia
Prunus avium
Ginkgo biloba
Ulmus Patriot
Liquidambar styraciflua
Platanus x acerifolia
Zelkova serrata
Tilia americana
Sassafras albidum
Ginkgo biloba
Quercus imbricaria
Ostrya virginiana
Viburnum lentago
Acer platanoides 
Acer rubrum 
Pyrus calleryana 
Platanus x acerifolia 
Tilia cordata 
Liquidambar styraciflua 
Gleditsia triacanthos inermis
Ginkgo biloba
Liquidambar styraciflua 
Quercus palustris
Acer platanoides
Pyrus calleryana
Fraxinus pennsylvanica
Gleditsia triacanthos
Platanus _ acerifolia
Acer rubrum
Prunus serrulata
Tilia cordata
Zelkova serrata
Acer saccharum
